id,label,category,rigidity_score,texture_score,description
VisGel_Real_0089,Fork_4,YCB_Kitchen,87,34,Rigid Ceramic/Metal/Glass
VisGel_Real_0090,Fork_5,YCB_Kitchen,85,27,Rigid Ceramic/Metal/Glass
VisGel_Real_0091,Spoon_1,YCB_Kitchen,91,31,Rigid Ceramic/Metal/Glass
VisGel_Real_0092,Spoon_2,YCB_Kitchen,88,33,Rigid Ceramic/Metal/Glass
VisGel_Real_0093,Spoon_3,YCB_Kitchen,87,28,Rigid Ceramic/Metal/Glass
VisGel_Real_0094,Spoon_4,YCB_Kitchen,88,31,Rigid Ceramic/Metal/Glass
VisGel_Real_0095,Spoon_5,YCB_Kitchen,91,30,Rigid Ceramic/Metal/Glass
VisGel_Real_0096,Power_Drill_1,YCB_Tools,96,48,Hard Metal/Plastic combo
VisGel_Real_0097,Power_Drill_2,YCB_Tools,91,50,Hard Metal/Plastic combo
VisGel_Real_0098,Power_Drill_3,YCB_Tools,93,48,Hard Metal/Plastic combo
VisGel_Real_0099,Power_Drill_4,YCB_Tools,97,46,Hard Metal/Plastic combo
VisGel_Real_0100,Power_Drill_5,YCB_Tools,95,50,Hard Metal/Plastic combo
VisGel_Real_0101,Hammer_1,YCB_Tools,92,48,Hard Metal/Plastic combo
VisGel_Real_0102,Hammer_2,YCB_Tools,94,49,Hard Metal/Plastic combo
VisGel_Real_0103,Hammer_3,YCB_Tools,91,54,Hard Metal/Plastic combo
VisGel_Real_0104,Hammer_4,YCB_Tools,96,49,Hard Metal/Plastic combo
VisGel_Real_0105,Hammer_5,YCB_Tools,91,52,Hard Metal/Plastic combo
VisGel_Real_0106,Screwdriver_1,YCB_Tools,99,51,Hard Metal/Plastic combo
VisGel_Real_0107,Screwdriver_2,YCB_Tools,92,47,Hard Metal/Plastic combo
VisGel_Real_0108,Screwdriver_3,YCB_Tools,91,52,Hard Metal/Plastic combo
VisGel_Real_0109,Screwdriver_4,YCB_Tools,95,54,Hard Metal/Plastic combo
VisGel_Real_0110,Screwdriver_5,YCB_Tools,97,52,Hard Metal/Plastic combo
VisGel_Real_0111,Adjustable_Wrench_1,YCB_Tools,92,47,Hard Metal/Plastic combo
VisGel_Real_0112,Adjustable_Wrench_2,YCB_Tools,96,50,Hard Metal/Plastic combo
VisGel_Real_0113,Adjustable_Wrench_3,YCB_Tools,98,47,Hard Metal/Plastic combo
VisGel_Real_0114,Adjustable_Wrench_4,YCB_Tools,91,51,Hard Metal/Plastic combo
VisGel_Real_0115,Adjustable_Wrench_5,YCB_Tools,99,51,Hard Metal/Plastic combo
VisGel_Real_0116,Scissors_1,YCB_Tools,90,50,Hard Metal/Plastic combo
VisGel_Real_0117,Scissors_2,YCB_Tools,90,46,Hard Metal/Plastic combo
VisGel_Real_0118,Scissors_3,YCB_Tools,99,52,Hard Metal/Plastic combo
VisGel_Real_0119,Scissors_4,YCB_Tools,98,49,Hard Metal/Plastic combo
VisGel_Real_0120,Scissors_5,YCB_Tools,93,49,Hard Metal/Plastic combo
VisGel_Real_0121,Padlock_1,YCB_Tools,91,49,Hard Metal/Plastic combo
VisGel_Real_0122,Padlock_2,YCB_Tools,93,54,Hard Metal/Plastic combo
VisGel_Real_0123,Padlock_3,YCB_Tools,93,52,Hard Metal/Plastic combo
VisGel_Real_0124,Padlock_4,YCB_Tools,90,47,Hard Metal/Plastic combo
VisGel_Real_0125,Padlock_5,YCB_Tools,96,54,Hard Metal/Plastic combo
VisGel_Real_0126,Marker_1,Stationery,58,48,Lightweight Plastic/Paper
VisGel_Real_0127,Marker_2,Stationery,60,45,Lightweight Plastic/Paper
VisGel_Real_0128,Marker_3,Stationery,56,47,Lightweight Plastic/Paper
VisGel_Real_0129,Marker_4,Stationery,56,49,Lightweight Plastic/Paper
VisGel_Real_0130,Marker_5,Stationery,58,50,Lightweight Plastic/Paper
VisGel_Real_0131,Pen_1,Stationery,63,53,Lightweight Plastic/Paper
VisGel_Real_0132,Pen_2,Stationery,59,48,Lightweight Plastic/Paper
VisGel_Real_0133,Pen_3,Stationery,60,53,Lightweight Plastic/Paper
VisGel_Real_0134,Pen_4,Stationery,61,45,Lightweight Plastic/Paper
VisGel_Real_0135,Pen_5,Stationery,57,48,Lightweight Plastic/Paper
VisGel_Real_0136,Notebook_1,Stationery,59,51,Lightweight Plastic/Paper
VisGel_Real_0137,Notebook_2,Stationery,57,48,Lightweight Plastic/Paper
VisGel_Real_0138,Notebook_3,Stationery,62,47,Lightweight Plastic/Paper
VisGel_Real_0139,Notebook_4,Stationery,60,52,Lightweight Plastic/Paper
VisGel_Real_0140,Notebook_5,Stationery,59,54,Lightweight Plastic/Paper
VisGel_Real_0141,Stapler_1,Stationery,60,47,Lightweight Plastic/Paper
VisGel_Real_0142,Stapler_2,Stationery,63,47,Lightweight Plastic/Paper
VisGel_Real_0143,Stapler_3,Stationery,64,45,Lightweight Plastic/Paper
VisGel_Real_0144,Stapler_4,Stationery,56,51,Lightweight Plastic/Paper
VisGel_Real_0145,Stapler_5,Stationery,55,49,Lightweight Plastic/Paper
VisGel_Real_0146,Scissors_1,Stationery,64,45,Lightweight Plastic/Paper
VisGel_Real_0147,Scissors_2,Stationery,60,45,Lightweight Plastic/Paper
VisGel_Real_0148,Scissors_3,Stationery,58,48,Lightweight Plastic/Paper
VisGel_Real_0149,Scissors_4,Stationery,56,48,Lightweight Plastic/Paper
VisGel_Real_0150,Scissors_5,Stationery,64,46,Lightweight Plastic/Paper
